name	terms	is_query
EEF1D	signaling;molecular function regulator activity;DNA binding;translation regulator activity;endoplasmic reticulum;nucleolus;nucleoplasm;nucleus;cytosol	False
EEF1E1	signaling;programmed cell death;nucleolus;nucleoplasm;nucleus;cytosol	False
EEF2	cell differentiation;anatomical structure development;RNA binding;translation regulator activity;GTPase activity;nucleus;plasma membrane;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
EFHD2		False
EFTUD2	mRNA metabolic process;RNA binding;GTPase activity;cytosol;nucleoplasm;nucleus;organelle	False
EHD1	anatomical structure development;intracellular protein transport;cell differentiation;protein-containing complex assembly;protein localization to plasma membrane;vesicle-mediated transport;cilium organization;cilium;plasma membrane;endosome;organelle;extracellular space;lipid droplet;cytoplasmic vesicle	False
EHD2	cytoskeleton organization;anatomical structure development;cell differentiation;protein localization to plasma membrane;vesicle-mediated transport;membrane organization;cilium organization;hydrolase activity;cytoskeleton;nucleus;plasma membrane;cytosol;endosome;organelle;extracellular space;cytoplasmic vesicle	False
EHD4	protein-containing complex assembly;protein localization to plasma membrane;vesicle-mediated transport;protein modification process;cilium organization;endoplasmic reticulum;nucleus;plasma membrane;endosome;organelle;extracellular space;cytoplasmic vesicle	False
EIF1	RNA binding;translation regulator activity;nucleus	False
EIF1B	RNA binding;translation regulator activity	False
EIF2A	protein modification process;signaling;ribosome biogenesis;RNA binding;translation regulator activity;ribosome;cytosol;extracellular space	False
EIF2AK4	anatomical structure development;immune system process;cell differentiation;defense response to other organism;regulation of DNA-templated transcription;nervous system process;protein modification process;signaling;catalytic activity, acting on a protein;RNA binding;translation regulator activity;transferase activity;ribosome;cytosol	False
EIF2B1	cell differentiation;signaling;anatomical structure development;immune system process;molecular function regulator activity;translation regulator activity;cytosol;plasma membrane	False
EIF2B2	anatomical structure development;immune system process;cell differentiation;reproductive process;signaling;molecular function regulator activity;translation regulator activity;cytosol	False
EIF2B3	anatomical structure development;immune system process;cell differentiation;cytoplasmic translation;signaling;molecular function regulator activity;translation regulator activity;transferase activity;cytosol	False
EIF2S1	protein modification process;signaling;aging;programmed cell death;RNA binding;translation regulator activity;cytosol;nucleus;extracellular space;organelle	False
EIF2S3	protein-containing complex assembly;cytoplasmic translation;RNA binding;translation regulator activity;GTPase activity;cytosol;organelle;extracellular space	False
EIF3A	signaling;protein-containing complex assembly;cytoplasmic translation;RNA binding;structural molecule activity;translation regulator activity;nucleolus;cytoskeleton;nucleoplasm;cytosol;organelle	False
EIF3B	protein-containing complex assembly;cytoplasmic translation;molecular adaptor activity;RNA binding;translation regulator activity;cytosol;organelle;extracellular space	False
EIF3E	protein-containing complex assembly;mRNA metabolic process;cytoplasmic translation;RNA binding;translation regulator activity;nucleoplasm;nucleus;chromosome;cytosol;organelle;extracellular space	False
EIF3F	protein modification process;protein-containing complex assembly;cytoplasmic translation;catalytic activity, acting on a protein;translation regulator activity;hydrolase activity;cytosol	False
EIF3G	protein-containing complex assembly;cytoplasmic translation;RNA binding;translation regulator activity;cytosol	False
EIF3H	protein catabolic process;protein-containing complex assembly;cytoplasmic translation;catalytic activity, acting on a protein;RNA binding;translation regulator activity;hydrolase activity;ribosome;cytosol;organelle;extracellular space	False
EIF3I	protein-containing complex assembly;cytoplasmic translation;RNA binding;translation regulator activity;cytosol;organelle;extracellular space	False
EIF3K	protein-containing complex assembly;cytoplasmic translation;RNA binding;translation regulator activity;cytosol;nucleus	False
EIF3M	protein-containing complex assembly;cytoplasmic translation;translation regulator activity;cytosol	False
EIF4A1	cytoplasmic translation;catalytic activity;translation regulator activity;catalytic activity, acting on RNA;ATP-dependent activity;hydrolase activity;RNA binding;cytosol;organelle;extracellular space	False
EIF4A2	cytoplasmic translation;catalytic activity;translation regulator activity;catalytic activity, acting on RNA;hydrolase activity;ATP-dependent activity;RNA binding;cytosol	False
EIF4A3	anatomical structure development;nucleocytoplasmic transport;mRNA metabolic process;nervous system process;ribosome biogenesis;signaling;translation regulator activity;catalytic activity, acting on RNA;hydrolase activity;ATP-dependent activity;RNA binding;cytosol;nucleoplasm;nucleus;nucleolus	False
EIF4B	RNA binding;translation regulator activity;cytosol	False
EIF4E	mitotic cell cycle;cell differentiation;signaling;anatomical structure development;RNA binding;translation regulator activity;cytosol;organelle;extracellular space;nucleus	False
EIF4E2	RNA-mediated gene silencing;RNA binding;translation regulator activity;cytosol;organelle	False
EIF4G2	autophagy;RNA binding;translation regulator activity;cytosol	False
EIF4H	RNA binding;translation regulator activity;cytosol	False
EIF5A	regulation of DNA-templated transcription;signaling;programmed cell death;RNA binding;translation regulator activity;endoplasmic reticulum;nuclear envelope;cytosol;nucleus	False
EIF6	anatomical structure development;generation of precursor metabolites and energy;immune system process;cell differentiation;nucleocytoplasmic transport;carbohydrate metabolic process;carbohydrate derivative metabolic process;protein-containing complex assembly;lipid metabolic process;RNA-mediated gene silencing;ribosome biogenesis;nucleobase-containing small molecule metabolic process;translation regulator activity;nucleolus;cytoskeleton;nucleus;nucleoplasm;cytosol;organelle;extracellular space	False
ELAVL1	intracellular protein transport;nucleocytoplasmic transport;protein-containing complex assembly;mRNA metabolic process;RNA-mediated gene silencing;RNA binding;endoplasmic reticulum;nucleoplasm;nucleus;cytosol;organelle;cytoplasmic vesicle	False
ELOB	DNA-templated transcription;protein modification process;protein catabolic process;protein-containing complex assembly;cytosol;nucleoplasm	False
ELOC	DNA-templated transcription;protein modification process;regulation of DNA-templated transcription;protein catabolic process;molecular adaptor activity;cytosol;nucleoplasm	False
ELP2	DNA-templated transcription;tRNA metabolic process;signaling;regulation of DNA-templated transcription;cytosol;nucleoplasm	False
ELP3	tRNA metabolic process;anatomical structure development;cell differentiation;regulation of DNA-templated transcription;cell motility;molecular function regulator activity;RNA binding;transferase activity;nucleolus;cytosol;nucleus	False
EMC2	membrane organization;molecular carrier activity;endoplasmic reticulum	False
EMG1	ribosome biogenesis;anatomical structure development;RNA binding;catalytic activity, acting on RNA;transferase activity;nucleolus;chromosome;nucleoplasm;nucleus	False
ENO1	protein maturation;generation of precursor metabolites and energy;carbohydrate metabolic process;carbohydrate derivative metabolic process;muscle system process;regulation of DNA-templated transcription;programmed cell death;signaling;nucleobase-containing small molecule metabolic process;transcription regulator activity;RNA binding;DNA binding;lyase activity;nucleus;plasma membrane;nuclear envelope;cytosol;organelle;extracellular space	False
ENO2	generation of precursor metabolites and energy;carbohydrate metabolic process;carbohydrate derivative metabolic process;reproductive process;nucleobase-containing small molecule metabolic process;lyase activity;cytosol;organelle;extracellular space;plasma membrane	False
ENOPH1	sulfur compound metabolic process;amino acid metabolic process;isomerase activity;hydrolase activity;cytosol;nucleus	False
ENSA	protein modification process;mitotic cell cycle;signaling;molecular function regulator activity;nucleoplasm	False
EPB41L2	cytoskeleton organization;structural molecule activity;cytoskeletal protein binding;cytoskeleton;nucleoplasm;plasma membrane;cytosol;organelle;extracellular space	False
EPHA2	nucleobase-containing small molecule metabolic process;anatomical structure development;cell differentiation;cell adhesion;cell junction organization;carbohydrate derivative metabolic process;defense response to other organism;protein localization to plasma membrane;programmed cell death;inflammatory response;protein modification process;signaling;cell motility;catalytic activity, acting on a protein;molecular transducer activity;transferase activity;molecular function regulator activity;virus receptor activity;plasma membrane	False
EPRS1	tRNA metabolic process;immune system process;defense response to other organism;protein-containing complex assembly;amino acid metabolic process;ligase activity;catalytic activity, acting on RNA;RNA binding;cytosol;plasma membrane	False
ERH	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;RNA binding;DNA binding;nucleus	False
ERI3	ribosome biogenesis;RNA binding;catalytic activity, acting on RNA;hydrolase activity	False
ERO1A	extracellular matrix organization;protein maturation;protein folding;cell differentiation;transmembrane transport;programmed cell death;protein modification process;signaling;catalytic activity, acting on a protein;oxidoreductase activity;endoplasmic reticulum;organelle;extracellular space;Golgi apparatus	False
ERP29	protein folding;intracellular protein transport;programmed cell death;protein modification process;signaling;endoplasmic reticulum;cytoplasmic vesicle	False
ERP44	carbohydrate derivative metabolic process;protein folding;catalytic activity, acting on a protein;isomerase activity;endoplasmic reticulum;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
ESD	detoxification;hydrolase activity;endoplasmic reticulum;cytosol;organelle;extracellular space;cytoplasmic vesicle	False
ETF1	protein modification process;mRNA metabolic process;cytoplasmic translation;RNA binding;translation regulator activity;cytosol	False
ETFA	lipid metabolic process;generation of precursor metabolites and energy;amino acid metabolic process;oxidoreductase activity;mitochondrion	False
EVI2A	molecular transducer activity	False
EXOSC3	tRNA metabolic process;anatomical structure development;immune system process;snRNA metabolic process;mRNA metabolic process;DNA recombination;ribosome biogenesis;catalytic activity, acting on RNA;hydrolase activity;RNA binding;nucleolus;nucleoplasm;nucleus;chromosome;cytosol	False
EXOSC6	anatomical structure development;immune system process;snRNA metabolic process;mRNA metabolic process;DNA recombination;ribosome biogenesis;RNA binding;nucleolus;nucleoplasm;nucleus;cytosol	False
EYA3	DNA repair;anatomical structure development;cell differentiation;chromatin organization;nervous system process;programmed cell death;protein modification process;signaling;catalytic activity, acting on a protein;hydrolase activity;microtubule organizing center;nucleoplasm;nucleus	False
EZR	digestive system process;anatomical structure development;cytoskeleton organization;immune system process;cell differentiation;cell adhesion;cell junction organization;regulation of DNA-templated transcription;protein localization to plasma membrane;vesicle-mediated transport;protein catabolic process;signaling;RNA binding;cytoskeletal protein binding;nucleolus;cytoskeleton;plasma membrane;cilium;endosome;cytosol;extracellular space;organelle;microtubule organizing center	False
FABP5	anatomical structure development;transmembrane transport;carbohydrate metabolic process;circulatory system process;lipid metabolic process;nervous system process;signaling;lipid binding;transporter activity;nucleoplasm;nucleus;plasma membrane;lysosome;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
FADD	protein maturation;anatomical structure development;immune system process;cell differentiation;cell adhesion;defense response to other organism;protein-containing complex assembly;regulation of DNA-templated transcription;programmed cell death;signaling;cell motility;cytosol;nucleus;plasma membrane	False
FAF1	DNA replication;cell adhesion;protein-containing complex assembly;regulation of DNA-templated transcription;programmed cell death;protein catabolic process;signaling;molecular function regulator activity;endoplasmic reticulum;nucleoplasm;nucleus;plasma membrane;nuclear envelope;cytosol	False
FAH	lipid metabolic process;amino acid metabolic process;hydrolase activity;cytosol;organelle;extracellular space	False
FAHD1	hydrolase activity;lyase activity;cytosol;nucleoplasm;mitochondrion	False
FAM107B		False
FARS2	tRNA metabolic process;amino acid metabolic process;RNA binding;catalytic activity, acting on RNA;ligase activity;mitochondrion	False
FARSA	tRNA metabolic process;protein-containing complex assembly;amino acid metabolic process;RNA binding;catalytic activity, acting on RNA;ligase activity;cytosol	False
FARSB	tRNA metabolic process;protein-containing complex assembly;amino acid metabolic process;RNA binding;catalytic activity, acting on RNA;ligase activity;cytosol	False
FASN	lipid metabolic process;cell differentiation;inflammatory response;anatomical structure development;lyase activity;transferase activity;hydrolase activity;RNA binding;oxidoreductase activity;plasma membrane;Golgi apparatus;cytosol;organelle;extracellular space;cytoplasmic vesicle	False
FAU	immune system process;defense response to other organism;cytoplasmic translation;RNA binding;structural molecule activity;ribosome;cytosol;nucleoplasm;extracellular space	False
FBXO3	protein modification process;protein catabolic process;catalytic activity, acting on a protein;transferase activity;molecular adaptor activity;cytosol;nucleoplasm	False
FBXO4	telomere organization;aging;protein modification process;protein catabolic process;signaling;catalytic activity, acting on a protein;transferase activity;cytosol	False
FDPS	lipid metabolic process;RNA binding;transferase activity;cytosol;nucleoplasm	False
FEN1	DNA replication;DNA repair;DNA recombination;nervous system process;telomere organization;catalytic activity, acting on RNA;DNA binding;hydrolase activity;catalytic activity, acting on DNA;nucleolus;nucleoplasm;nucleus;chromosome;mitochondrion	False
FH	DNA repair;generation of precursor metabolites and energy;lyase activity;nucleus;chromosome;cytosol;organelle;extracellular space;mitochondrion	False
FIBP	cell adhesion;signaling;wound healing;nucleoplasm;nucleus;mitochondrion	False
FKBP1A	protein maturation;anatomical structure development;protein folding;immune system process;transmembrane transport;protein-containing complex assembly;protein modification process;signaling;catalytic activity, acting on a protein;isomerase activity;endoplasmic reticulum;cytosol;organelle;plasma membrane	False
FKBP2	protein modification process;protein folding;catalytic activity, acting on a protein;isomerase activity;endoplasmic reticulum	False
FKBP3	catalytic activity, acting on a protein;RNA binding;isomerase activity;molecular transducer activity;nucleus	False
FKBP4	anatomical structure development;protein folding;cytoskeleton organization;cell differentiation;protein-containing complex assembly;reproductive process;signaling;catalytic activity, acting on a protein;isomerase activity;molecular adaptor activity;RNA binding;cytoskeletal protein binding;cytoskeleton;nucleoplasm;cytosol;organelle;extracellular space;mitochondrion	False
FLAD1	nucleobase-containing small molecule metabolic process;vitamin metabolic process;transferase activity;cytosol;plasma membrane;mitochondrion	False
FLII	cell differentiation;cytoskeleton organization;protein-containing complex assembly;anatomical structure development;cytoskeletal protein binding;lipid binding;cytoskeleton;nucleoplasm;nucleus;cytosol;microtubule organizing center	False
FLNA	chromosome segregation;cytoskeleton organization;anatomical structure development;nucleocytoplasmic transport;cell junction organization;protein catabolic process;cell differentiation;transmembrane transport;cell adhesion;vesicle-mediated transport;signaling;cell motility;intracellular protein transport;mitotic nuclear division;regulation of DNA-templated transcription;protein modification process;wound healing;protein maturation;circulatory system process;muscle system process;protein localization to plasma membrane;programmed cell death;cilium organization;molecular function regulator activity;RNA binding;cytoskeletal protein binding;nucleolus;cytoskeleton;nucleus;plasma membrane;Golgi apparatus;cytosol;organelle;extracellular region;extracellular space	False
FLNB	cytoskeleton organization;anatomical structure development;immune system process;cell differentiation;defense response to other organism;signaling;RNA binding;cytoskeletal protein binding;cytoskeleton;plasma membrane;cytosol;organelle;extracellular space;cytoplasmic vesicle	False
FN3KRP	protein modification process;catalytic activity, acting on a protein;transferase activity;cytosol	False
FRG1	ribosome biogenesis;mRNA metabolic process;anatomical structure development;RNA binding;cytoskeletal protein binding;nucleolus;nucleus;nucleoplasm;organelle	False
FSCN1	extracellular matrix organization;cytoskeleton organization;cell junction organization;establishment or maintenance of cell polarity;protein-containing complex assembly;cell motility;molecular adaptor activity;RNA binding;cytoskeletal protein binding;cytoskeleton;plasma membrane;cytosol;organelle;extracellular space	False
FTH1	immune system process;oxidoreductase activity;nucleus;lysosome;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
FTSJ1	tRNA metabolic process;cytoplasmic translation;catalytic activity, acting on RNA;transferase activity;cytosol	False
FUCA1	lipid metabolic process;carbohydrate metabolic process;carbohydrate derivative metabolic process;hydrolase activity;lysosome;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
FXN	protein maturation;anatomical structure development;generation of precursor metabolites and energy;nervous system process;programmed cell death;protein modification process;sulfur compound metabolic process;signaling;mitochondrion organization;oxidoreductase activity;molecular carrier activity;cytosol;mitochondrion	False
G3BP1	defense response to other organism;signaling;immune system process;catalytic activity, acting on DNA;catalytic activity, acting on RNA;DNA binding;ATP-dependent activity;hydrolase activity;RNA binding;cytosol;nucleus;organelle	False
G6PD	anatomical structure development;generation of precursor metabolites and energy;immune system process;cell differentiation;transmembrane transport;carbohydrate metabolic process;carbohydrate derivative metabolic process;lipid metabolic process;muscle system process;programmed cell death;protein modification process;nucleobase-containing small molecule metabolic process;oxidoreductase activity;nucleus;plasma membrane;cytosol;organelle;extracellular space;microtubule organizing center	False
GAGE12B		False
GALE	carbohydrate metabolic process;isomerase activity;cytosol	False
GALK2	carbohydrate metabolic process;transferase activity;cytosol	False
GALT	carbohydrate metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;transferase activity;cytosol;Golgi apparatus	False
GAMT	reproductive process;muscle system process;anatomical structure development;cellular modified amino acid metabolic process;transferase activity;cytosol;nucleus	False
GANAB	carbohydrate metabolic process;carbohydrate derivative metabolic process;RNA binding;hydrolase activity;endoplasmic reticulum;Golgi apparatus;organelle;extracellular space;cytoplasmic vesicle	False
GAPDH	programmed cell death;cytoskeleton organization;generation of precursor metabolites and energy;immune system process;carbohydrate metabolic process;carbohydrate derivative metabolic process;defense response to other organism;autophagy;protein modification process;signaling;nucleobase-containing small molecule metabolic process;catalytic activity, acting on a protein;cytoskeletal protein binding;transferase activity;molecular function regulator activity;oxidoreductase activity;cytoskeleton;nucleus;plasma membrane;nuclear envelope;cytosol;organelle;extracellular space;lipid droplet	False
GARS1	tRNA metabolic process;mitochondrial gene expression;nucleobase-containing small molecule metabolic process;amino acid metabolic process;ligase activity;catalytic activity, acting on RNA;hydrolase activity;transferase activity;cytosol;organelle;extracellular space;mitochondrion;cytoplasmic vesicle	False
GART	anatomical structure development;carbohydrate derivative metabolic process;amino acid metabolic process;nucleobase-containing small molecule metabolic process;cellular modified amino acid metabolic process;ligase activity;transferase activity;cytosol;organelle;extracellular space	False
GBA		False
GBE1	programmed cell death;carbohydrate metabolic process;generation of precursor metabolites and energy;hydrolase activity;transferase activity;cytosol;organelle;extracellular space	False
GBF1	immune system process;establishment or maintenance of cell polarity;vesicle-mediated transport;mitotic cell cycle;membrane organization;signaling;cell motility;cilium organization;molecular function regulator activity;lipid binding;lipid droplet;cytosol;organelle;Golgi apparatus	False
GCDH	carbohydrate derivative metabolic process;lipid metabolic process;sulfur compound metabolic process;nucleobase-containing small molecule metabolic process;amino acid metabolic process;oxidoreductase activity;lipid binding;mitochondrion	False
GCLM	circulatory system process;aging;programmed cell death;sulfur compound metabolic process;signaling;mitochondrion organization;amino acid metabolic process;molecular function regulator activity;ligase activity;cytosol	False
GDI1	anatomical structure development;intracellular protein transport;cell differentiation;vesicle-mediated transport;signaling;molecular function regulator activity;cytosol;Golgi apparatus	False
GDI2	signaling;vesicle-mediated transport;cilium organization;molecular function regulator activity;RNA binding;Golgi apparatus;lysosome;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
GEMIN7	protein-containing complex assembly;mRNA metabolic process;cytosol;nucleoplasm	False
GET3	intracellular protein transport;membrane organization;hydrolase activity;ATP-dependent activity;transporter activity;nucleolus;endoplasmic reticulum;nucleoplasm;organelle;extracellular space	False
GFM1	mitochondrial gene expression;RNA binding;translation regulator activity;GTPase activity;mitochondrion	False
GFPT1	generation of precursor metabolites and energy;protein glycosylation;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;amino acid metabolic process;transferase activity;cytosol;organelle;extracellular space	False
GGA1	intracellular protein transport;protein catabolic process;protein localization to plasma membrane;vesicle-mediated transport;lipid binding;nucleoplasm;Golgi apparatus;cytosol;endosome;organelle	False
GGCT	signaling;mitochondrion organization;programmed cell death;lyase activity;cytosol;organelle;extracellular space	False
GGH	cellular modified amino acid metabolic process;catalytic activity, acting on a protein;hydrolase activity;vacuole;nucleus;lysosome;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
GINS2	DNA recombination;DNA replication;DNA repair;nucleoplasm;nuclear chromosome;nucleus	False
GIPC1	intracellular protein transport;cytokinesis;protein catabolic process;signaling;cell motility;cytoskeletal protein binding;cytosol;cytoplasmic vesicle;extracellular space;organelle	False
GLO1	anatomical structure development;cell differentiation;carbohydrate metabolic process;regulation of DNA-templated transcription;programmed cell death;lyase activity;nucleoplasm;plasma membrane;cytosol;organelle;extracellular space	False
GLOD4	organelle;extracellular space;mitochondrion	False
GLRX3	muscle system process;sulfur compound metabolic process;protein maturation;circulatory system process;RNA binding;cytosol;nucleus;organelle	False
GLUD1	signaling;anatomical structure development;amino acid metabolic process;oxidoreductase activity;endoplasmic reticulum;mitochondrion	False
GMFB	protein modification process;cytoskeleton organization;signaling;anatomical structure development;molecular function regulator activity;cytoskeletal protein binding;receptor ligand activity	False
GMPPA	transferase activity;organelle;extracellular space	False
GMPPB	protein glycosylation;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;transferase activity	False
GMPS	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;amino acid metabolic process;ligase activity;cytosol	False
GNB1	signaling;nervous system process;anatomical structure development;molecular adaptor activity;GTPase activity;plasma membrane;cilium;lysosome;cytosol;organelle;extracellular space;extracellular region	False
GNB2	transmembrane transport;signaling;molecular adaptor activity;GTPase activity;plasma membrane;lysosome;cytosol;organelle;extracellular space	False
GNB4	signaling;anatomical structure development;molecular adaptor activity;plasma membrane;lysosome;cytosol;organelle;extracellular space	False
GNG10	signaling;GTPase activity;plasma membrane	False
GNG12	signaling;organelle;extracellular space;plasma membrane	False
GNG5	signaling;GTPase activity;organelle;extracellular space;plasma membrane	False
GNPDA1	generation of precursor metabolites and energy;carbohydrate metabolic process;carbohydrate derivative metabolic process;reproductive process;nucleobase-containing small molecule metabolic process;isomerase activity;hydrolase activity;cytosol;organelle;extracellular space	False
GNPDA2	carbohydrate metabolic process;carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;isomerase activity;hydrolase activity;cytosol;nucleus	False
GNPNAT1	carbohydrate derivative metabolic process;nucleobase-containing small molecule metabolic process;transferase activity;endoplasmic reticulum;Golgi apparatus;cytosol;organelle;endosome	False
GORASP2	reproductive process;cell differentiation;protein localization to plasma membrane;endoplasmic reticulum;Golgi apparatus	False
GOT1	carbohydrate metabolic process;signaling;amino acid metabolic process;transferase activity;lyase activity;nucleoplasm;nucleus;cytosol;organelle;extracellular space	False
GPI	anatomical structure development;immune system process;generation of precursor metabolites and energy;carbohydrate metabolic process;carbohydrate derivative metabolic process;nervous system process;programmed cell death;cell motility;signaling;nucleobase-containing small molecule metabolic process;isomerase activity;receptor ligand activity;nucleoplasm;plasma membrane;cilium;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
GPRC5A	protein modification process;signaling;molecular function regulator activity;molecular transducer activity;nucleolus;plasma membrane;organelle;extracellular space;cytoplasmic vesicle	False
GPX1	anatomical structure development;immune system process;cell differentiation;detoxification;circulatory system process;lipid metabolic process;chromatin organization;mitochondrion organization;nervous system process;aging;programmed cell death;inflammatory response;protein modification process;protein catabolic process;signaling;cell motility;wound healing;oxidoreductase activity;antioxidant activity;cytosol;nucleus;mitochondrion	False
GPX4	protein-containing complex assembly;lipid metabolic process;chromatin organization;aging;programmed cell death;inflammatory response;detoxification;reproductive process;oxidoreductase activity;antioxidant activity;nucleus;nuclear envelope;cytosol;organelle;extracellular space;mitochondrion	False
GRB2	cytoskeleton organization;anatomical structure development;immune system process;cell differentiation;protein-containing complex assembly;vesicle-mediated transport;aging;signaling;molecular adaptor activity;molecular function regulator activity;RNA binding;nucleolus;nucleoplasm;nucleus;plasma membrane;Golgi apparatus;endosome;cytosol;organelle;extracellular space	False
GRHPR	oxidoreductase activity;cytosol;organelle;extracellular space;peroxisome	False
GRINA	signaling;programmed cell death;endoplasmic reticulum;Golgi apparatus	False
GRSF1	tRNA metabolic process;mRNA metabolic process;anatomical structure development;RNA binding;nucleoplasm;organelle;mitochondrion	False
GRWD1	chromatin organization;DNA replication;ribosome biogenesis;protein-containing complex assembly;RNA binding;DNA binding;histone binding;nucleolus;nucleoplasm;nucleus;chromosome;cytosol	False
GSDMD	immune system process;transmembrane transport;defense response to other organism;protein-containing complex assembly;programmed cell death;inflammatory response;lipid binding;transporter activity;nucleoplasm;plasma membrane;cytosol;extracellular region;extracellular space;cytoplasmic vesicle	False
GSDME	anatomical structure development;cell differentiation;nervous system process;programmed cell death;signaling;lipid binding;cytosol;plasma membrane	False
GSN	protein maturation;cytoskeleton organization;immune system process;anatomical structure development;renal system process;establishment or maintenance of cell polarity;defense response to other organism;protein-containing complex assembly;circulatory system process;muscle system process;vesicle-mediated transport;programmed cell death;membrane organization;cilium organization;cytoskeletal protein binding;lipid binding;cytoskeleton;nucleus;plasma membrane;cytosol;organelle;extracellular region;extracellular space;cytoplasmic vesicle	False
GSPT1	protein modification process;mitotic cell cycle;mRNA metabolic process;RNA binding;translation regulator activity;GTPase activity;cytosol	False
GSTM1	lipid metabolic process;detoxification;sulfur compound metabolic process;transferase activity;cytosol	False
GSTM3	cell differentiation;detoxification;anatomical structure development;transferase activity;nucleus;cilium;cytosol;organelle;extracellular space	False
GSTO1	transmembrane transport;carbohydrate metabolic process;circulatory system process;muscle system process;nervous system process;vitamin metabolic process;detoxification;signaling;oxidoreductase activity;transferase activity;antioxidant activity;cytosol;organelle;extracellular space	False
GSTP1	anatomical structure development;sulfur compound metabolic process;lipid metabolic process;programmed cell death;inflammatory response;protein modification process;detoxification;signaling;antioxidant activity;lipid binding;transferase activity;molecular function regulator activity;oxidoreductase activity;nucleus;cytosol;organelle;extracellular region;mitochondrion;extracellular space;cytoplasmic vesicle	False
GSTT1	detoxification;oxidoreductase activity;transferase activity;antioxidant activity;cytosol;organelle;extracellular space	False
GTF2A2	DNA-templated transcription;regulation of DNA-templated transcription;protein-containing complex assembly;general transcription initiation factor activity;nucleoplasm;nucleus	False
GTF2H5	DNA-templated transcription;DNA repair;protein-containing complex assembly;regulation of DNA-templated transcription;ribosome biogenesis;protein modification process;nucleolus;nucleoplasm;nucleus	False
GTF2I	DNA-templated transcription;regulation of DNA-templated transcription;anatomical structure development;transcription regulator activity;DNA binding;nucleoplasm;nucleus	False
GTF3C1	DNA-templated transcription;tRNA metabolic process;general transcription initiation factor activity;DNA binding;nucleolus;nucleoplasm	False
GYG1	carbohydrate metabolic process;generation of precursor metabolites and energy;transferase activity;cytosol;cytoplasmic vesicle;extracellular region;lysosome	False
H1-2	protein-containing complex assembly;DNA recombination;chromatin organization;regulation of DNA-templated transcription;protein modification process;RNA binding;structural molecule activity;DNA binding;chromosome;nucleus	False
H1-4	protein-containing complex assembly;DNA recombination;chromatin organization;regulation of DNA-templated transcription;protein modification process;RNA binding;structural molecule activity;DNA binding;chromosome;nucleus	False
H2AC11	structural molecule activity;DNA binding;chromosome;nucleus;extracellular space;organelle	False
H2AC14	structural molecule activity;DNA binding;chromosome;nucleus;extracellular space;organelle	False
H2AC18	structural molecule activity;DNA binding;chromosome;nucleus;extracellular space;organelle	False
H2AC20	structural molecule activity;DNA binding;chromosome;nucleus;extracellular space;organelle	False
H2AC7	structural molecule activity;DNA binding;chromosome;nucleus;extracellular space;organelle	False
H2AX	DNA repair;anatomical structure development;protein-containing complex assembly;DNA recombination;chromatin organization;reproductive process;signaling;structural molecule activity;DNA binding;histone binding;nucleoplasm;nuclear chromosome;nucleus;chromosome;organelle;extracellular space;microtubule organizing center	False
H2BC12	defense response to other organism;immune system process;structural molecule activity;nucleoplasm;nucleus;chromosome;cytosol;extracellular space	False
H2BC15	chromatin organization;protein-containing complex assembly;structural molecule activity;DNA binding;nucleoplasm;nucleus;chromosome;cytosol;organelle;extracellular space	False
H2BC17	chromatin organization;protein-containing complex assembly;structural molecule activity;DNA binding;cytosol;chromosome;nucleoplasm;nucleus	False
H2BC18	structural molecule activity;nucleoplasm;nucleus;chromosome;cytosol;organelle;extracellular space	False
H2BC21	chromatin organization;defense response to other organism;protein-containing complex assembly;immune system process;structural molecule activity;DNA binding;nucleoplasm;nucleus;chromosome;cytosol;organelle;extracellular space	False
H4C1	anatomical structure development;immune system process;cell differentiation;protein-containing complex assembly;chromatin organization;telomere organization;RNA binding;structural molecule activity;DNA binding;nucleoplasm;nucleus;chromosome;organelle;extracellular region;extracellular space	False
HADH	lipid metabolic process;signaling;oxidoreductase activity;transferase activity;nucleoplasm;mitochondrion	False
HADHA	lipid metabolic process;oxidoreductase activity;lipid binding;transferase activity;lyase activity;mitochondrion	False
HADHB	lipid metabolic process;RNA binding;oxidoreductase activity;transferase activity;lyase activity;endoplasmic reticulum;mitochondrion	False
HARS		False
HAX1	cytoskeleton organization;immune system process;anatomical structure development;cell differentiation;intracellular protein transport;protein-containing complex assembly;regulation of DNA-templated transcription;mitochondrion organization;autophagy;programmed cell death;protein modification process;signaling;endoplasmic reticulum;cytoskeleton;plasma membrane;nuclear envelope;organelle;mitochondrion;cytoplasmic vesicle	False
